"","PARTY","educ","race","Voted_2020","gender","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_NATO","FT_UN","FT_NRA","FT_Socialist","FT_capitalist","FT_FBI","FT_ICE","FT_MeToo","FT_rural","FT_Parent","FT_WHO","FT_CDC"
"1","Republican","Bachelor's Degree","Hispanic",FALSE,"Male",0,85,0,100,0,100,50,40,65,30,30,70,85,100,85,40,85,85,100,85,70,100,0,40,20,15,50,0,60,50,100,40,100,40,0,15
"2","Independent","Some College","Asian",TRUE,"Female",0,50,0,0,15,15,50,50,100,0,70,50,15,50,100,15,90,100,100,90,90,70,70,15,50,50,50,40,50,50,50,60,60,100,50,50
"3","Democrat","High School","White",TRUE,"Female",60,0,65,0,85,0,100,0,75,75,75,0,0,25,100,0,100,30,100,40,100,100,80,75,80,75,0,75,10,50,0,80,75,80,80,80
"4","Republican","Some College","Asian",TRUE,"Male",50,70,70,15,100,60,100,70,70,70,70,85,70,85,70,100,70,70,70,100,70,85,50,85,60,100,NA,NA,NA,85,85,NA,NA,70,100,100
"5","Independent","Graduate Degree","Native American",TRUE,"Male",20,70,15,85,0,90,0,50,30,10,50,0,60,60,50,10,10,50,90,70,50,60,0,50,50,10,70,0,60,20,95,0,90,10,0,10
"6","Democrat","Some College","White",TRUE,"Female",85,15,85,0,100,0,85,50,60,70,50,40,40,60,70,85,50,85,100,70,70,85,70,85,50,50,15,60,30,70,40,50,85,60,70,70
"7","Republican","Some College","White",TRUE,"Female",15,75,50,75,0,70,0,60,60,0,50,50,60,70,60,50,60,60,60,60,70,85,0,60,70,85,85,0,70,79,70,70,70,70,70,85
"8","Republican","High School","White",FALSE,"Female",50,100,50,100,50,0,NA,NA,100,NA,0,0,NA,50,NA,50,NA,100,50,100,50,NA,NA,50,NA,NA,50,NA,NA,100,0,NA,50,100,50,100
"9","Independent","High School","White",FALSE,"Female",NA,NA,85,0,85,0,30,NA,50,30,30,50,50,50,50,50,0,50,50,60,50,60,60,50,NA,60,NA,NA,NA,60,60,NA,NA,60,NA,70
"10","Democrat","Some College","Hispanic",TRUE,"Male",60,50,85,0,70,30,50,50,50,50,50,15,50,50,50,40,50,50,50,70,50,50,50,50,NA,50,50,50,0,50,0,NA,50,70,6,70
"11","Democrat","High School","Hispanic",TRUE,"Female",100,0,100,0,100,0,85,50,0,50,50,50,50,40,0,50,50,85,50,50,0,85,0,85,NA,50,NA,0,NA,0,0,NA,NA,NA,NA,60
"12","Democrat","High School","White",TRUE,"Male",50,30,60,0,70,0,70,50,70,70,50,60,40,50,70,50,50,NA,50,70,40,100,50,40,50,NA,40,NA,NA,60,15,NA,70,70,50,70
"13","Republican","High School","White",TRUE,"Female",0,85,0,100,0,100,50,0,0,0,50,0,85,0,30,0,0,0,0,50,0,70,0,0,NA,NA,NA,NA,NA,50,NA,0,50,85,NA,50
"14","Democrat","Graduate Degree","Asian",FALSE,"Male",85,0,85,0,85,0,85,0,70,70,60,0,30,30,50,40,50,50,50,0,50,70,100,50,50,60,0,50,50,0,0,70,45,100,50,50
"15","Democrat","Some College","Black",FALSE,"Female",60,40,60,40,70,40,60,50,60,50,40,70,40,60,50,60,60,85,60,60,50,70,70,60,70,NA,40,60,NA,70,60,60,NA,70,70,85
"16","Republican","Some College","Hispanic",FALSE,"Male",0,100,0,100,0,100,30,60,30,0,50,50,85,60,50,40,15,85,50,85,50,70,0,15,50,30,100,NA,NA,40,60,NA,NA,40,30,40
"17","Democrat","Bachelor's Degree","White",TRUE,"Male",40,30,60,0,60,0,80,50,50,60,40,40,60,40,50,40,50,50,50,70,50,80,70,50,60,30,30,50,60,70,30,70,70,50,60,50
"18","Democrat","Bachelor's Degree","White",FALSE,"Male",85,16,85,0,85,0,100,15,70,85,60,40,30,70,85,60,85,85,85,85,85,85,85,85,100,85,0,40,60,85,50,85,85,85,85,85
"19","Democrat","Bachelor's Degree","White",TRUE,"Female",85,0,85,15,85,15,100,30,60,60,40,50,50,70,70,40,50,70,60,70,50,85,60,85,70,60,0,40,40,85,40,85,40,60,50,70
"20","Democrat","High School","White",TRUE,"Female",85,30,70,15,85,0,90,70,85,70,70,60,70,90,85,50,90,100,100,85,85,100,70,70,95,95,15,60,50,50,30,70,85,40,95,95
"21","Republican","Graduate Degree","Hispanic",FALSE,"Male",0,100,0,95,0,95,10,75,20,0,30,85,100,80,85,60,50,100,50,100,10,80,0,20,50,40,100,30,100,60,35,0,100,100,10,0
"22","Democrat","Less than High School","Hispanic",TRUE,"Female",70,15,75,0,80,0,30,50,70,70,75,50,50,40,75,70,70,70,70,60,70,NA,100,60,50,100,0,60,15,50,30,100,70,15,65,65
"23","Democrat","Bachelor's Degree","White",TRUE,"Male",25,0,40,5,70,0,85,0,50,35,75,15,10,25,50,15,55,50,50,15,50,80,50,70,50,25,0,60,20,25,0,50,50,80,60,80
"24","Republican","Graduate Degree","White",TRUE,"Male",30,85,0,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,NA,50,50,50,NA,NA,NA,NA,50,50
"25","Democrat","Less than High School","Hispanic",FALSE,"Female",60,15,0,15,50,0,50,50,60,50,50,30,65,70,30,50,50,50,50,70,30,70,50,50,NA,NA,NA,50,40,100,15,50,50,60,NA,NA
"26","Democrat","Bachelor's Degree","White",TRUE,"Male",80,15,85,0,85,0,75,45,80,80,85,45,45,60,60,60,65,65,60,65,60,75,75,90,75,80,45,50,50,50,40,70,60,90,80,60
"27","Republican","Less than High School","White",TRUE,"Female",20,100,0,100,15,85,85,0,50,40,70,60,85,85,30,70,0,100,85,85,30,85,100,70,100,100,85,0,0,100,85,100,85,100,70,100
"28","Republican","Bachelor's Degree","White",TRUE,"Male",40,50,50,60,30,50,50,50,50,50,50,50,50,50,50,15,50,60,50,60,50,60,50,40,50,50,50,50,50,50,50,50,60,50,50,50
"29","Republican","Graduate Degree","White",TRUE,"Male",60,0,70,NA,75,0,100,30,70,55,50,30,30,40,50,70,40,50,50,70,45,90,90,90,85,55,15,45,45,90,35,65,85,70,70,85
"30","Democrat","High School","Hispanic",TRUE,"Male",60,30,70,0,85,0,50,50,15,50,50,50,85,50,100,70,70,85,85,40,100,70,85,60,50,50,50,50,50,50,50,50,50,70,50,50
"31","Independent","High School","Asian",FALSE,"Female",0,0,0,85,15,NA,40,0,0,0,0,0,0,15,0,0,0,0,0,50,15,15,0,10,NA,NA,NA,15,50,100,NA,NA,NA,NA,NA,0
"32","Independent","Some College","Native American",FALSE,"Male",0,0,0,0,0,0,0,50,50,50,40,40,50,0,50,0,50,50,50,15,50,50,50,15,15,50,50,50,50,0,15,50,50,50,50,50
"33","Democrat","Graduate Degree","White",TRUE,"Female",70,15,85,0,100,0,70,0,70,85,70,15,15,15,85,40,40,40,70,70,85,85,60,85,60,70,0,60,60,70,15,70,40,85,85,60
"34","Republican","Bachelor's Degree","White",TRUE,"Male",0,70,0,100,NA,100,15,70,15,15,60,70,100,70,70,30,30,85,100,100,30,50,0,0,50,0,100,0,70,30,85,0,100,0,15,70
"35","Democrat","Graduate Degree","White",TRUE,"Female",60,15,85,0,100,0,100,30,85,85,50,35,50,60,85,40,50,50,50,70,85,100,70,60,85,70,20,50,60,50,30,100,50,100,70,90
"36","Republican","Bachelor's Degree","White",TRUE,"Female",0,85,0,85,30,85,50,60,50,50,60,70,50,70,70,50,50,100,85,70,50,85,50,50,60,60,70,0,50,50,50,50,100,50,70,60
"37","Democrat","Some College","Black",TRUE,"Female",60,40,60,15,100,40,50,75,85,60,85,85,60,85,40,70,70,NA,100,85,40,85,70,85,NA,NA,0,85,70,85,70,NA,NA,NA,100,100
"38","Democrat","Graduate Degree","White",TRUE,"Female",40,10,40,0,60,0,70,10,100,40,70,10,20,60,100,10,60,30,50,10,70,100,100,80,50,80,10,100,20,40,0,90,60,90,70,80
"39","Democrat","Graduate Degree","White",TRUE,"Female",85,0,85,0,100,0,100,0,100,100,70,15,15,50,100,60,60,15,70,15,100,100,85,85,50,85,0,50,30,70,0,85,NA,100,100,100
"40","Republican","Bachelor's Degree","White",TRUE,"Male",0,60,0,100,15,100,60,85,15,50,40,60,70,70,50,15,50,50,85,70,50,70,0,0,40,30,85,0,85,15,85,0,50,0,15,50
"41","Republican","Bachelor's Degree","White",TRUE,"Female",30,85,15,70,15,70,50,60,40,40,50,50,70,50,85,40,70,60,50,85,50,50,40,15,50,50,50,30,50,50,50,40,85,60,40,30
"42","Democrat","Some College","Black",TRUE,"Female",78,NA,80,5,100,10,50,60,60,60,85,55,60,55,60,55,90,95,95,65,30,65,90,55,70,75,65,60,NA,75,10,50,NA,70,NA,75
"43","Republican","Graduate Degree","White",TRUE,"Male",0,15,0,100,0,100,4,60,15,2,1,85,85,75,50,0,50,30,50,100,50,100,0,0,50,5,85,0,100,95,75,0,100,0,5,75
"44","Republican","Bachelor's Degree","White",TRUE,"Female",10,95,0,98,0,100,0,86,0,0,0,86,86,70,100,70,50,70,86,100,70,40,0,0,50,50,100,NA,NA,86,100,0,100,50,50,70
"45","Republican","Some College","White",TRUE,"Female",40,85,50,85,50,70,50,50,50,50,50,0,50,50,50,50,50,50,50,60,50,50,50,60,50,50,60,50,50,50,50,50,50,50,50,50
"46","Republican","High School","White",TRUE,"Male",0,100,0,100,0,85,50,50,0,0,50,50,90,20,50,50,50,90,50,99,0,90,0,50,50,50,99,0,99,50,90,NA,100,50,50,50
"47","Democrat","Some College","White",TRUE,"Male",85,0,85,0,100,0,100,50,60,85,85,40,15,70,70,60,70,100,85,85,70,85,60,85,70,85,15,70,50,85,50,50,40,85,85,100
"48","Democrat","Bachelor's Degree","White",TRUE,"Male",80,0,75,0,90,0,90,20,70,70,50,50,40,60,70,50,40,40,70,50,70,90,60,70,70,70,0,30,60,60,0,70,40,70,60,70
"49","Republican","Bachelor's Degree","Asian",TRUE,"Female",20,100,15,80,20,95,70,80,50,50,65,50,50,80,80,70,50,100,70,70,30,60,20,75,70,62,NA,70,80,50,70,NA,NA,30,80,70
"50","Democrat","Graduate Degree","White",TRUE,"Male",70,30,100,0,85,0,100,40,70,50,70,70,50,85,70,60,70,70,70,85,60,85,70,85,70,70,10,50,70,85,50,50,60,80,80,90
"51","Democrat","Some College","Native American",FALSE,"Female",100,70,100,15,100,0,85,70,30,70,60,0,60,50,0,60,85,85,50,15,15,70,40,30,0,40,50,50,30,15,15,NA,0,100,NA,70
"52","Democrat","Graduate Degree","Black",TRUE,"Female",80,0,100,0,90,0,100,15,95,80,85,15,15,30,90,30,90,70,90,40,85,100,90,85,100,75,0,60,40,60,45,90,55,100,100,70
"53","Independent","Less than High School","White",FALSE,"Female",50,50,100,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Republican","High School","White",FALSE,"Male",0,70,0,100,0,100,0,100,0,0,70,70,0,60,0,30,0,100,0,100,0,0,15,0,NA,NA,NA,NA,NA,100,NA,NA,70,100,NA,100
"55","Independent","Some College",NA,TRUE,"Female",0,70,0,85,0,100,0,50,20,0,70,85,90,100,50,30,50,100,100,100,50,50,0,0,0,0,100,0,50,50,50,0,100,0,0,10
"56","Republican","Some College","White",FALSE,"Male",40,70,30,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Democrat","Graduate Degree","White",TRUE,"Female",70,45,75,15,85,0,100,50,50,75,90,51,51,90,15,60,10,85,75,90,20,90,50,70,70,60,45,49,50,80,30,NA,80,65,90,95
"58","Democrat","Graduate Degree","White",TRUE,"Male",70,15,85,0,85,0,95,30,85,70,60,50,20,60,90,50,60,70,90,60,85,90,70,90,90,60,15,60,70,75,60,60,60,90,75,70
"59","Republican","High School","White",TRUE,"Male",40,70,60,30,70,0,100,30,60,85,60,60,60,60,40,40,40,85,60,60,60,85,60,60,NA,70,85,60,30,70,60,NA,40,40,70,85
"60","Republican","High School","White",TRUE,"Male",15,85,15,85,0,100,40,50,50,30,15,30,85,60,50,60,70,85,70,85,50,50,0,30,50,50,100,0,85,40,85,50,85,50,30,40
"61","Independent","Bachelor's Degree","White",TRUE,"Male",30,30,50,30,40,30,85,40,60,40,85,30,40,85,85,30,85,70,85,60,85,85,70,30,50,60,20,40,50,20,40,60,60,30,70,60
"62","Democrat","Graduate Degree","White",FALSE,"Female",60,30,40,15,75,35,50,50,50,50,50,35,50,50,50,50,50,50,50,50,50,75,75,35,50,50,50,50,50,50,50,50,50,50,50,50
"63","Democrat","Graduate Degree","White",TRUE,"Male",70,0,100,0,100,0,100,15,85,85,85,40,0,30,70,15,70,60,85,40,60,100,85,85,85,85,15,85,50,60,0,85,70,85,100,85
"64","Democrat","Graduate Degree","Other",TRUE,"Female",70,15,85,0,70,40,70,0,50,80,75,30,10,30,75,50,85,50,85,50,75,90,70,50,75,80,0,85,0,50,0,80,30,80,70,60
"65","Democrat","Bachelor's Degree","White",TRUE,"Male",50,30,40,15,60,0,85,0,85,70,70,40,40,70,85,30,100,85,85,70,85,100,70,100,85,85,15,15,100,70,40,85,70,100,100,100
"66","Republican","Some College","White",TRUE,"Male",0,85,100,0,100,0,100,0,50,0,15,50,50,85,100,30,50,50,50,70,85,100,60,85,100,85,85,NA,NA,100,100,50,NA,NA,85,100
"67","Democrat","Some College","Other",TRUE,"Male",85,0,100,0,100,0,100,70,70,70,100,40,70,50,60,40,50,85,50,85,50,100,85,70,70,85,60,70,70,70,70,85,40,60,70,85
"68","Democrat","Graduate Degree","White",TRUE,"Female",40,0,15,0,40,0,100,0,100,100,85,0,0,15,100,30,50,15,50,15,100,100,100,70,85,85,0,100,0,30,0,100,30,100,100,85
"69","Democrat","Graduate Degree","White",TRUE,"Female",70,10,72,0,75,0,90,10,80,70,85,30,45,65,80,40,70,60,70,45,70,90,70,70,70,85,10,70,50,50,10,95,60,75,95,85
"70","Democrat","Graduate Degree","Black",TRUE,"Female",70,30,70,0,60,0,100,40,100,40,50,15,40,40,100,40,60,85,50,40,100,70,100,40,50,50,30,50,30,70,30,70,30,100,60,60
"71","Democrat","Graduate Degree","White",TRUE,"Female",100,0,100,0,100,16,85,40,100,100,70,50,0,100,85,50,100,85,85,50,85,86,100,60,100,100,40,50,50,50,50,100,85,100,100,100
"72","Democrat","Some College","White",TRUE,"Female",70,15,85,0,70,0,100,50,50,50,70,30,50,40,100,30,40,85,50,85,50,85,15,50,50,30,50,15,0,70,60,15,70,50,70,70
"73","Democrat","Some College","White",FALSE,"Female",85,0,100,0,100,0,100,70,85,70,100,70,85,100,70,40,70,100,85,100,70,100,50,100,70,85,70,85,40,100,40,85,100,85,100,100
"74","Democrat","High School","White",TRUE,"Female",NA,NA,NA,NA,70,0,80,40,50,50,50,30,50,60,85,40,60,70,85,85,70,70,50,60,50,50,0,40,50,50,15,70,70,40,60,70
"75","Republican","Some College","White",TRUE,"Male",0,75,15,85,15,85,60,50,0,15,40,60,85,85,50,60,15,70,100,100,50,85,0,15,85,85,85,0,40,85,100,50,100,30,60,40
"76","Independent","Some College","Black",FALSE,"Male",25,15,40,15,50,50,85,0,50,50,50,50,50,50,0,50,50,60,50,50,0,85,50,0,50,50,NA,50,50,50,0,70,60,0,60,50
"77","Democrat","Less than High School","Black",FALSE,"Female",100,0,100,0,100,0,60,100,100,70,85,60,50,50,100,50,100,100,100,60,100,70,100,100,50,100,50,100,70,100,50,NA,NA,100,100,100
"78","Democrat","Graduate Degree","White",TRUE,"Male",100,30,85,0,7,0,9,5,5,6,7,3,5,9,5,3,5,5,8,8,5,9,7,7,8,5,5,4,1,7,7,6,5,5,6,7
"79","Republican","Some College","White",TRUE,"Male",0,60,0,70,50,85,70,40,40,40,60,70,70,85,70,40,60,70,100,70,60,70,15,30,60,15,60,15,60,30,70,40,60,15,30,40
"80","Democrat","High School","White",TRUE,"Female",100,0,100,0,100,0,100,60,70,70,100,60,85,85,50,70,60,85,60,100,50,100,85,85,85,70,70,40,60,100,100,70,85,85,85,100
"81","Republican","Bachelor's Degree","White",TRUE,"Male",15,60,30,30,50,30,100,NA,60,15,15,60,60,70,50,15,60,85,70,70,50,70,60,30,50,40,30,15,70,50,50,50,85,30,30,85
"82","Republican","Some College","White",TRUE,"Female",0,100,0,100,0,100,60,100,0,0,40,70,100,85,0,60,0,100,100,100,0,70,0,15,40,60,100,0,100,70,100,0,100,15,0,70
"83","Democrat","Bachelor's Degree","White",TRUE,"Female",70,0,70,0,100,0,100,90,60,90,50,70,70,40,60,70,70,100,80,60,50,90,80,80,NA,NA,70,20,60,80,30,NA,80,80,80,70
"84","Independent","Some College","Black",FALSE,"Female",70,60,85,30,100,0,85,50,50,50,70,60,50,60,50,50,50,60,50,60,50,85,85,60,60,70,0,50,50,60,50,60,40,50,50,50
"85","Democrat","Bachelor's Degree","White",TRUE,"Female",70,15,70,0,85,0,100,0,85,70,70,40,15,70,100,85,85,15,70,40,100,85,85,70,70,70,0,85,40,70,0,85,30,100,85,70
"86","Democrat","Some College","Hispanic",TRUE,"Female",85,15,100,0,100,0,60,90,60,0,70,0,15,60,100,70,60,85,90,100,85,85,60,50,NA,100,50,50,0,100,15,85,50,100,NA,100
"87","Independent","Graduate Degree","White",FALSE,"Female",50,50,85,0,90,10,50,50,80,65,60,40,80,50,90,60,60,80,80,65,70,80,80,40,50,60,50,50,50,70,50,80,80,80,50,60
"88","Democrat","Bachelor's Degree","White",TRUE,"Female",70,0,85,0,60,0,85,15,50,50,60,15,15,40,100,30,50,50,50,15,50,100,70,30,50,75,0,50,70,60,40,70,60,85,70,85
"89","Republican","High School","White",FALSE,"Female",0,100,0,100,60,100,85,50,50,30,50,50,100,100,50,50,50,60,50,100,30,85,0,60,NA,NA,NA,NA,NA,85,NA,NA,NA,50,NA,85
"90","Republican","Bachelor's Degree","White",TRUE,"Female",15,70,30,60,30,60,50,50,15,15,30,50,85,50,50,50,40,50,50,60,50,85,85,50,50,50,50,0,50,70,70,50,50,70,50,40
"91","Republican","Graduate Degree","White",FALSE,"Female",30,85,15,85,50,60,100,70,0,15,0,100,85,85,100,60,100,100,100,70,85,100,30,15,85,85,70,0,100,70,60,0,85,100,70,85
"92","Republican","Bachelor's Degree","White",TRUE,"Female",0,100,0,85,15,100,15,50,50,15,60,50,85,50,50,50,50,50,60,100,50,85,0,50,NA,50,50,NA,NA,85,50,70,50,50,50,60
"93","Republican","Some College","White",TRUE,"Female",0,100,0,100,0,100,0,85,0,0,85,50,100,100,50,85,50,100,100,100,50,50,0,30,NA,60,100,0,100,0,50,85,100,0,0,0
"94","Democrat","High School","White",TRUE,"Male",70,30,70,0,70,0,85,30,60,70,85,40,30,50,50,60,50,60,85,70,50,85,60,70,50,60,0,50,60,60,40,NA,NA,60,60,70
"95","Independent","Bachelor's Degree","Native American",TRUE,"Male",0,60,30,60,0,70,50,30,50,15,30,60,70,70,50,0,0,50,50,70,30,85,0,0,30,15,60,0,85,30,100,0,100,70,0,30
"96","Republican","Graduate Degree","White",TRUE,"Female",15,70,40,100,30,100,50,100,40,30,15,60,100,85,0,15,30,100,85,100,0,70,40,50,70,50,85,0,60,100,60,50,100,15,50,70
"97","Democrat","Some College","White",TRUE,"Male",60,15,70,0,85,0,100,0,60,40,70,50,40,30,85,15,70,70,85,60,85,100,85,85,85,85,0,50,50,70,50,50,50,70,60,70
"98","Democrat","Bachelor's Degree","Hispanic",TRUE,"Female",50,0,100,0,100,0,100,0,100,70,15,15,0,40,85,15,70,40,85,60,85,100,100,70,60,60,30,30,0,85,0,100,30,100,60,60
"99","Democrat","Bachelor's Degree","White",TRUE,"Female",85,0,100,0,100,0,100,15,90,95,85,50,30,50,90,50,85,NA,100,85,100,100,85,85,85,85,0,85,70,85,15,85,50,100,100,85
"100","Independent","Some College","White",TRUE,"Female",70,60,60,30,60,40,70,50,60,60,50,60,60,70,50,40,60,70,60,70,50,70,60,50,50,60,50,40,50,70,40,50,50,70,60,70
"101","Democrat","High School","Other",FALSE,"Female",100,0,100,0,100,0,100,100,0,0,100,60,70,70,0,50,60,100,30,0,0,100,0,100,NA,NA,40,80,NA,100,40,NA,NA,100,NA,100
"102","Independent","High School","White",FALSE,"Female",60,50,60,15,60,40,100,100,100,100,40,60,100,70,100,70,100,100,100,100,70,100,100,70,60,85,NA,60,NA,60,70,100,100,100,100,100
"103","Democrat","Graduate Degree","White",TRUE,"Female",85,50,70,0,85,0,95,15,95,95,75,20,20,85,95,85,50,40,85,30,90,85,95,75,50,90,20,75,20,90,20,95,50,90,90,90
"104","Republican","Some College","White",TRUE,"Female",15,85,NA,85,0,85,0,60,50,30,58,50,85,50,50,40,50,100,50,100,50,60,0,30,NA,NA,85,15,NA,50,50,NA,NA,15,0,15
"105","Republican","Bachelor's Degree","White",TRUE,"Male",0,60,0,85,0,100,0,100,0,0,10,80,51,100,0,25,50,100,100,100,0,51,0,0,51,51,80,0,100,90,90,0,100,0,0,60
"106","Democrat","Less than High School","White",TRUE,"Female",85,15,100,0,100,0,100,60,85,85,60,40,40,60,85,50,50,85,85,85,60,85,85,85,50,85,0,60,30,70,60,70,70,60,100,85
"107","Republican","High School","White",TRUE,"Female",0,85,0,100,0,85,30,100,40,40,30,100,100,85,15,40,0,100,100,100,0,70,0,70,70,70,100,30,100,85,70,0,NA,0,50,70
"108","Republican","High School","White",TRUE,"Female",30,85,NA,85,0,100,85,50,50,NA,70,50,40,60,50,70,50,85,70,85,50,70,40,40,70,85,15,NA,NA,70,NA,NA,85,NA,NA,60
"109","Republican","Some College","Native American",TRUE,"Male",30,50,40,65,40,50,40,45,40,40,50,40,55,50,50,40,50,60,50,70,50,50,15,30,50,40,50,30,45,50,50,40,60,0,40,40
"110","Republican","Some College","White",TRUE,"Female",70,10,85,0,95,0,99,20,60,50,50,20,10,30,50,50,50,50,50,50,50,70,50,70,75,60,10,50,50,80,20,60,80,80,75,75
"111","Republican",NA,"White",FALSE,"Male",0,70,0,100,0,100,30,85,40,0,85,70,100,70,85,30,70,85,85,85,85,50,0,0,60,60,100,0,100,60,70,50,100,0,0,60
"112","Republican","Graduate Degree","Asian",TRUE,"Male",0,70,15,100,0,85,70,50,50,30,50,30,85,70,50,60,50,50,50,70,50,85,15,40,60,30,60,40,70,50,70,NA,85,40,30,70
"113","Democrat","High School","White",TRUE,"Male",30,60,40,70,60,30,40,50,60,30,100,60,85,85,100,30,100,100,100,100,100,60,0,30,70,70,100,0,85,70,100,70,100,30,40,30
"114","Republican","Some College","White",TRUE,"Male",0,70,15,100,0,85,0,60,50,0,30,15,70,60,50,15,0,100,60,85,50,40,0,0,40,15,60,0,30,15,70,50,70,15,0,40
"115","Republican","Bachelor's Degree","White",FALSE,"Male",30,70,15,70,15,50,50,50,15,70,30,15,50,50,30,50,30,70,30,50,0,85,0,15,100,50,NA,0,30,60,60,NA,NA,NA,15,50
"116","Republican","Graduate Degree","Hispanic",TRUE,"Female",60,100,50,85,50,100,60,50,60,85,70,70,70,60,85,70,70,50,50,100,85,100,100,85,NA,NA,NA,85,85,100,100,NA,NA,70,NA,100
"117","Democrat","Some College","Black",TRUE,"Female",85,15,100,0,100,0,100,40,85,85,100,15,60,40,40,60,100,60,100,60,85,85,100,70,70,70,40,60,60,100,15,60,85,100,70,100
"118","Republican","Graduate Degree","Native American",TRUE,"Male",0,85,0,100,0,100,15,70,0,0,0,85,100,85,50,30,15,85,85,85,0,50,0,0,30,0,100,0,85,0,100,0,70,0,0,30
"119","Democrat","Some College","Black",TRUE,"Male",50,50,60,0,85,0,85,50,50,70,100,60,60,60,85,60,70,60,50,40,85,100,100,50,NA,85,NA,NA,NA,NA,0,100,NA,85,70,70
"120","Republican","Graduate Degree","White",FALSE,"Male",0,70,0,85,0,100,30,70,60,30,40,60,85,60,60,60,85,85,100,100,60,85,15,30,60,60,70,60,70,60,85,NA,85,60,50,70
"121","Republican","Graduate Degree",NA,TRUE,"Male",15,70,15,100,15,100,40,85,60,40,40,60,100,70,70,40,70,85,85,85,50,70,0,30,70,30,85,0,70,60,100,50,85,15,50,70
"122","Democrat","Some College","Hispanic",FALSE,"Male",NA,50,NA,NA,86,16,70,50,50,60,60,50,40,60,50,30,50,50,50,40,50,50,60,60,60,50,40,50,50,50,50,50,50,60,50,50
"123","Democrat","Less than High School","Hispanic",FALSE,"Male",95,100,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Republican","Some College","White",FALSE,"Male",40,60,15,80,30,60,60,50,50,50,40,50,50,50,50,50,40,50,50,70,50,60,30,40,50,50,60,50,50,50,60,NA,50,50,40,60
"125","Independent","High School","Black",FALSE,"Female",60,60,50,70,60,85,0,50,40,15,40,100,60,50,NA,50,40,85,15,70,0,30,85,30,NA,15,60,15,15,0,NA,NA,NA,NA,85,100
"126","Independent","High School","White",FALSE,"Female",50,30,60,50,51,23,15,99,77,77,80,50,77,77,77,66,67,97,99,90,77,99,75,44,99,88,77,66,NA,88,NA,NA,NA,55,45,88
"127","Democrat","Bachelor's Degree","White",TRUE,"Female",85,15,65,0,75,0,100,0,100,100,100,85,0,25,100,70,100,25,100,25,100,100,100,100,NA,100,0,100,15,50,15,100,25,100,85,85
"128","Republican","High School","White",TRUE,"Male",0,85,0,100,0,100,0,85,50,30,50,50,85,50,50,15,50,100,50,100,50,50,0,30,15,15,100,0,85,85,85,0,100,0,15,30
"129","Democrat","Graduate Degree","White",TRUE,"Female",85,0,100,0,100,0,100,15,70,85,85,30,15,40,70,60,60,70,70,60,60,100,70,70,60,70,0,60,50,60,40,85,50,100,70,85
"130","Independent","Some College","Hispanic",FALSE,"Female",50,50,60,0,100,0,0,0,50,50,50,50,100,0,100,0,100,0,100,50,100,100,100,50,NA,50,NA,0,0,0,0,NA,NA,50,100,100
"131","Democrat","Graduate Degree","Black",TRUE,"Male",70,15,85,0,70,0,85,40,70,60,70,25,50,50,70,30,70,70,70,50,70,85,70,65,60,65,30,50,40,50,40,70,60,70,70,70
"132","Republican","Some College","White",TRUE,"Male",10,75,20,95,20,90,100,60,50,30,85,NA,85,100,50,20,NA,100,100,95,50,90,0,30,90,40,40,10,85,90,90,60,100,30,40,85
"133","Republican","Bachelor's Degree","White",TRUE,"Female",0,85,40,100,15,100,30,70,0,15,30,70,70,40,60,15,60,85,85,100,50,15,0,0,15,0,100,0,85,15,100,0,100,15,0,15
"134","Republican","Bachelor's Degree","White",TRUE,"Male",15,90,0,90,0,100,0,50,0,0,NA,85,NA,85,NA,45,30,85,85,85,50,70,0,0,20,15,85,0,85,15,85,15,85,0,0,30
"135","Independent","Graduate Degree","White",TRUE,"Female",70,0,60,0,60,0,70,0,85,85,70,15,30,30,70,15,60,15,60,70,70,85,85,85,70,70,30,85,15,70,30,70,85,85,85,60
"136","Independent","High School","White",TRUE,"Female",0,60,0,100,85,0,100,40,70,85,85,60,40,85,85,15,70,85,85,85,60,100,70,70,85,85,30,40,85,85,60,85,85,85,85,85
"137","Republican","Bachelor's Degree","White",TRUE,"Male",50,30,50,0,85,0,90,5,5,40,50,50,85,95,50,15,85,100,85,90,50,100,5,90,100,60,55,0,85,85,50,90,60,30,70,100
