"","PARTY","educ","race","Voted_2020","gender","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_NATO","FT_UN","FT_NRA","FT_Socialist","FT_capitalist","FT_FBI","FT_ICE","FT_MeToo","FT_rural","FT_Parent","FT_WHO","FT_CDC"
"3659","Republican","Bachelor's Degree","White",FALSE,"Male",15,85,30,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3660","Democrat","Some College","White",FALSE,"Male",85,0,85,0,100,0,100,60,85,85,85,40,15,0,85,70,85,85,85,85,70,85,70,70,70,70,NA,60,NA,85,60,70,50,85,70,70
"3661","Democrat","Graduate Degree","White",TRUE,"Female",78,9,80,0,80,0,95,25,90,86,51,40,18,30,90,15,84,50,65,51,90,99,88,88,75,78,10,60,68,60,22,86,55,95,70,51
"3662","Republican","Some College","White",TRUE,"Female",15,70,15,85,30,85,60,50,70,30,70,85,50,85,60,40,40,70,70,85,60,60,30,40,70,60,85,0,40,50,85,40,70,40,50,50
"3663","Republican","Some College","White",TRUE,"Male",0,60,0,100,0,100,30,60,40,0,100,60,85,60,50,15,0,70,70,85,50,60,0,0,30,15,100,0,100,15,100,0,85,50,30,85
"3664","Republican","Bachelor's Degree","White",FALSE,"Female",0,70,40,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3665","Republican","Graduate Degree","White",FALSE,"Male",30,60,40,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3666","Democrat","High School","Black",TRUE,"Female",85,15,70,0,85,0,50,85,85,50,70,40,50,40,30,40,50,100,50,30,40,50,85,70,NA,50,NA,50,NA,60,70,85,50,60,NA,70
"3667","Republican","Graduate Degree","White",TRUE,"Female",30,85,40,85,15,100,50,60,60,30,40,60,85,70,40,40,50,100,70,NA,50,60,40,40,50,50,85,15,70,60,60,50,85,15,30,60
"3668","Republican","Some College","White",TRUE,"Female",50,50,40,85,40,85,85,50,50,50,50,85,50,85,50,50,50,100,70,100,50,85,50,50,50,70,100,15,50,85,85,50,85,50,40,85
"3669","Democrat","Graduate Degree","White",TRUE,"Female",40,30,85,15,85,15,85,50,100,85,85,50,50,60,100,40,85,85,100,85,100,85,85,60,70,70,50,50,70,70,50,100,50,70,70,85
"3670","Democrat","Less than High School","Hispanic",TRUE,"Female",100,85,100,NA,50,50,50,100,50,70,70,70,70,70,50,50,70,100,70,70,50,50,70,70,50,50,85,50,50,50,85,50,50,50,85,50
"3671","Independent","Some College","Hispanic",FALSE,"Male",30,30,0,0,30,3,75,50,100,50,50,30,50,80,100,30,100,50,100,20,0,100,100,60,60,60,15,0,75,85,85,100,100,95,75,75
"3672","Republican","Bachelor's Degree","Asian",TRUE,"Male",30,60,15,70,50,70,40,60,50,40,50,50,60,50,50,40,40,60,50,50,50,60,40,30,50,NA,NA,40,50,50,50,NA,60,70,50,40
"3673","Democrat","High School","Black",FALSE,"Female",100,60,100,0,100,0,30,100,50,60,85,100,70,85,100,85,70,100,70,85,100,70,100,85,NA,70,100,100,85,100,100,NA,100,100,85,100
"3674","Democrat","Graduate Degree","White",TRUE,"Female",70,10,75,0,75,0,100,15,85,75,65,30,30,60,100,40,70,40,50,55,100,100,75,70,75,80,25,65,30,65,10,90,65,85,90,80
"3675","Democrat","Bachelor's Degree","White",TRUE,"Male",80,10,90,0,90,0,85,40,50,70,85,40,40,50,50,40,50,70,50,85,50,100,50,85,60,60,40,30,70,70,50,50,70,70,70,70
"3676","Democrat","Graduate Degree","Black",TRUE,"Female",85,10,10,0,100,0,100,NA,100,85,50,50,30,70,50,30,100,100,100,30,50,100,100,85,50,100,15,50,70,85,40,100,50,100,85,100
"3677","Republican","High School","Black",TRUE,"Female",15,100,15,100,0,85,50,50,50,0,50,70,100,70,50,70,50,70,50,100,50,100,0,40,70,100,100,0,85,60,100,0,85,50,100,100
"3678","Independent","High School","White",TRUE,"Female",70,40,85,0,85,0,100,70,50,70,85,50,85,85,50,70,40,85,85,60,30,100,50,85,70,85,50,15,50,85,85,50,100,50,85,85
